@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 numeric

@data
249,'2018/02/18 17:45:57:513',3,0,0
250,'2018/02/18 17:45:57:522',3,16,0
251,'2018/02/18 17:45:57:523',3,-16,0
252,'2018/02/18 17:45:57:535',3,0,0
253,'2018/02/18 17:45:57:536',3,0,0
254,'2018/02/18 17:45:57:543',3,16,0
255,'2018/02/18 17:45:57:552',3,-16,0
256,'2018/02/18 17:45:57:553',3,0,0
257,'2018/02/18 17:45:57:562',3,0,0
258,'2018/02/18 17:45:57:572',3,0,0
259,'2018/02/18 17:45:57:573',3,0,0
260,'2018/02/18 17:45:57:581',3,0,0
261,'2018/02/18 17:45:57:592',3,0,0
262,'2018/02/18 17:45:57:592',3,0,0
263,'2018/02/18 17:45:57:602',3,16,0
264,'2018/02/18 17:45:57:603',3,-16,0
265,'2018/02/18 17:45:57:613',3,0,0
266,'2018/02/18 17:45:57:614',3,0,0
267,'2018/02/18 17:45:57:622',3,0,0
268,'2018/02/18 17:45:57:632',3,0,0
269,'2018/02/18 17:45:57:633',3,0,0
270,'2018/02/18 17:45:57:642',3,-16,0
271,'2018/02/18 17:45:57:643',3,16,0
272,'2018/02/18 17:45:57:653',3,0,0
273,'2018/02/18 17:45:57:664',3,0,0
274,'2018/02/18 17:45:57:665',3,0,0
275,'2018/02/18 17:45:57:674',3,0,0
276,'2018/02/18 17:45:57:675',3,0,0
277,'2018/02/18 17:45:57:682',3,0,0
278,'2018/02/18 17:45:57:693',3,0,0
279,'2018/02/18 17:45:57:694',3,-16,0
280,'2018/02/18 17:45:57:703',3,16,0
281,'2018/02/18 17:45:57:704',3,0,0
282,'2018/02/18 17:45:57:711',3,0,0
283,'2018/02/18 17:45:57:724',3,16,0
284,'2018/02/18 17:45:57:725',3,-16,0
285,'2018/02/18 17:45:57:734',3,0,0
286,'2018/02/18 17:45:57:737',3,-16,0
287,'2018/02/18 17:45:57:744',3,16,0
288,'2018/02/18 17:45:57:753',3,0,0
289,'2018/02/18 17:45:57:753',3,0,0
290,'2018/02/18 17:45:57:763',3,0,0
291,'2018/02/18 17:45:57:763',3,0,0
292,'2018/02/18 17:45:57:773',3,32,0
293,'2018/02/18 17:45:57:786',3,-32,0
294,'2018/02/18 17:45:57:787',3,0,0
295,'2018/02/18 17:45:57:795',3,-32,0
296,'2018/02/18 17:45:57:796',3,32,0
297,'2018/02/18 17:45:57:804',3,0,0
298,'2018/02/18 17:45:57:814',3,0,0
299,'2018/02/18 17:45:57:819',3,-16,0
300,'2018/02/18 17:45:57:829',3,16,0
301,'2018/02/18 17:45:57:829',3,0,0
302,'2018/02/18 17:45:57:837',3,16,0
303,'2018/02/18 17:45:57:848',3,-16,0
304,'2018/02/18 17:45:57:849',3,0,0
305,'2018/02/18 17:45:57:856',3,32,0
306,'2018/02/18 17:45:57:858',3,-32,0
307,'2018/02/18 17:45:57:866',3,0,0
308,'2018/02/18 17:45:57:879',3,0,0
309,'2018/02/18 17:45:57:880',3,0,0
310,'2018/02/18 17:45:57:884',3,0,0
311,'2018/02/18 17:45:57:893',3,-16,0
312,'2018/02/18 17:45:57:893',3,16,0
313,'2018/02/18 17:45:57:903',3,0,0
314,'2018/02/18 17:45:57:903',3,0,0
315,'2018/02/18 17:45:57:912',3,0,0
316,'2018/02/18 17:45:57:913',3,0,0
317,'2018/02/18 17:45:57:922',3,0,0
318,'2018/02/18 17:45:57:931',3,0,0
319,'2018/02/18 17:45:57:932',3,0,0
320,'2018/02/18 17:45:57:943',3,0,0
321,'2018/02/18 17:45:57:943',3,0,0
322,'2018/02/18 17:45:57:952',3,0,0
323,'2018/02/18 17:45:57:963',3,0,0
324,'2018/02/18 17:45:57:963',3,16,0
325,'2018/02/18 17:45:57:972',3,-16,0
326,'2018/02/18 17:45:57:973',3,0,0
327,'2018/02/18 17:45:57:982',3,-16,0
328,'2018/02/18 17:45:57:993',3,16,0
329,'2018/02/18 17:45:57:993',3,0,0
330,'2018/02/18 17:45:58:002',3,0,0
331,'2018/02/18 17:45:58:003',3,0,0
332,'2018/02/18 17:45:58:011',3,0,0
333,'2018/02/18 17:45:58:023',3,0,0
334,'2018/02/18 17:45:58:023',3,16,0
335,'2018/02/18 17:45:58:032',3,-16,0
336,'2018/02/18 17:45:58:032',3,0,0
337,'2018/02/18 17:45:58:042',3,-16,0
338,'2018/02/18 17:45:58:053',3,16,0
339,'2018/02/18 17:45:58:053',3,0,0
340,'2018/02/18 17:45:58:062',3,16,0
341,'2018/02/18 17:45:58:063',3,-16,0
342,'2018/02/18 17:45:58:072',3,0,0
343,'2018/02/18 17:45:58:083',3,0,0
344,'2018/02/18 17:45:58:083',3,-16,0
345,'2018/02/18 17:45:58:093',3,16,0
346,'2018/02/18 17:45:58:094',3,0,0
347,'2018/02/18 17:45:58:102',3,-32,0
348,'2018/02/18 17:45:58:112',3,32,0
349,'2018/02/18 17:45:58:113',3,0,0
350,'2018/02/18 17:45:58:123',3,-32,0
351,'2018/02/18 17:45:58:123',3,32,0
352,'2018/02/18 17:45:58:133',3,0,0
353,'2018/02/18 17:45:58:142',3,96,0
354,'2018/02/18 17:45:58:143',3,-96,0
355,'2018/02/18 17:45:58:154',3,0,0
356,'2018/02/18 17:45:58:155',3,0,0
357,'2018/02/18 17:45:58:162',3,0,0
358,'2018/02/18 17:45:58:173',3,0,0
359,'2018/02/18 17:45:58:173',3,0,0
360,'2018/02/18 17:45:58:182',3,-48,0
361,'2018/02/18 17:45:58:183',3,48,0
362,'2018/02/18 17:45:58:194',3,0,0
363,'2018/02/18 17:45:58:195',3,-16,0
364,'2018/02/18 17:45:58:202',3,16,0
365,'2018/02/18 17:45:58:212',3,0,0
366,'2018/02/18 17:45:58:213',3,32,0
367,'2018/02/18 17:45:58:223',3,-32,0
368,'2018/02/18 17:45:58:233',3,0,0
369,'2018/02/18 17:45:58:233',3,0,0
370,'2018/02/18 17:45:58:243',3,0,0
371,'2018/02/18 17:45:58:244',3,0,0
372,'2018/02/18 17:45:58:252',3,16,0
373,'2018/02/18 17:45:58:262',3,-16,0
374,'2018/02/18 17:45:58:263',3,0,0
375,'2018/02/18 17:45:58:273',3,0,0
376,'2018/02/18 17:45:58:274',3,16,0
377,'2018/02/18 17:45:58:282',3,-16,0
378,'2018/02/18 17:45:58:293',3,0,0
379,'2018/02/18 17:45:58:293',3,-64,0
380,'2018/02/18 17:45:58:302',3,64,0
381,'2018/02/18 17:45:58:303',3,0,0
382,'2018/02/18 17:45:58:312',3,16,0
383,'2018/02/18 17:45:58:322',3,-16,0
384,'2018/02/18 17:45:58:322',3,0,0
385,'2018/02/18 17:45:58:332',3,32,0
386,'2018/02/18 17:45:58:333',3,-32,0
387,'2018/02/18 17:45:58:344',3,0,0
388,'2018/02/18 17:45:58:352',3,0,0
389,'2018/02/18 17:45:58:353',3,0,0
390,'2018/02/18 17:45:58:361',3,0,0
391,'2018/02/18 17:45:58:362',3,0,0
392,'2018/02/18 17:45:58:374',3,-64,0
393,'2018/02/18 17:45:58:374',3,64,0
394,'2018/02/18 17:45:58:382',3,0,0
395,'2018/02/18 17:45:58:393',3,64,0
396,'2018/02/18 17:45:58:394',3,-64,0
397,'2018/02/18 17:45:58:402',3,0,0
398,'2018/02/18 17:45:58:413',3,-16,0
399,'2018/02/18 17:45:58:413',3,16,0
400,'2018/02/18 17:45:58:422',3,0,0
401,'2018/02/18 17:45:58:423',3,32,0
402,'2018/02/18 17:45:58:433',3,-32,0
403,'2018/02/18 17:45:58:433',3,0,0
404,'2018/02/18 17:45:58:443',3,0,0
405,'2018/02/18 17:45:58:452',3,-64,0
406,'2018/02/18 17:45:58:453',3,64,0
407,'2018/02/18 17:45:58:462',3,0,0
408,'2018/02/18 17:45:58:462',3,-80,0
409,'2018/02/18 17:45:58:472',3,80,0
410,'2018/02/18 17:45:58:481',3,0,0
411,'2018/02/18 17:45:58:482',3,96,0
412,'2018/02/18 17:45:58:493',3,-96,0
413,'2018/02/18 17:45:58:503',3,0,0
414,'2018/02/18 17:45:58:504',3,0,0
415,'2018/02/18 17:45:58:513',3,0,0
416,'2018/02/18 17:45:58:513',3,0,0
417,'2018/02/18 17:45:58:522',3,48,0
418,'2018/02/18 17:45:58:532',3,-48,0
419,'2018/02/18 17:45:58:532',3,0,0
420,'2018/02/18 17:45:58:543',3,0,0
421,'2018/02/18 17:45:58:544',3,48,0
422,'2018/02/18 17:45:58:551',3,-48,0
423,'2018/02/18 17:45:58:563',3,0,0
424,'2018/02/18 17:45:58:563',3,-48,0
425,'2018/02/18 17:45:58:573',3,48,0
426,'2018/02/18 17:45:58:574',3,0,0
427,'2018/02/18 17:45:58:582',3,0,0
428,'2018/02/18 17:45:58:592',3,0,0
429,'2018/02/18 17:45:58:593',3,0,0
430,'2018/02/18 17:45:58:602',3,0,0
431,'2018/02/18 17:45:58:603',3,0,0
432,'2018/02/18 17:45:58:612',3,0,0
433,'2018/02/18 17:45:58:622',3,0,0
434,'2018/02/18 17:45:58:623',3,32,0
435,'2018/02/18 17:45:58:633',3,-32,0
436,'2018/02/18 17:45:58:633',3,0,0
437,'2018/02/18 17:45:58:641',3,16,0
438,'2018/02/18 17:45:58:653',3,-16,0
439,'2018/02/18 17:45:58:653',3,0,0
440,'2018/02/18 17:45:58:661',3,0,0
441,'2018/02/18 17:45:58:662',3,0,0
442,'2018/02/18 17:45:58:672',3,0,0
443,'2018/02/18 17:45:58:683',3,64,0
444,'2018/02/18 17:45:58:683',3,-64,0
445,'2018/02/18 17:45:58:694',3,0,0
446,'2018/02/18 17:45:58:694',3,-128,0
447,'2018/02/18 17:45:58:702',3,128,0
448,'2018/02/18 17:45:58:713',3,0,0
449,'2018/02/18 17:45:58:713',3,0,0
450,'2018/02/18 17:45:58:723',3,-80,0
451,'2018/02/18 17:45:58:723',3,80,0
452,'2018/02/18 17:45:58:732',3,0,0
453,'2018/02/18 17:45:58:743',3,16,0
454,'2018/02/18 17:45:58:744',3,-16,0
455,'2018/02/18 17:45:58:752',3,0,0
456,'2018/02/18 17:45:58:753',3,48,0
457,'2018/02/18 17:45:58:762',3,-48,0
458,'2018/02/18 17:45:58:773',3,0,0
459,'2018/02/18 17:45:58:773',3,-32,0
460,'2018/02/18 17:45:58:782',3,32,0
461,'2018/02/18 17:45:58:782',3,0,0
462,'2018/02/18 17:45:58:793',3,16,0
463,'2018/02/18 17:45:58:794',3,-16,0
464,'2018/02/18 17:45:58:803',3,0,0
465,'2018/02/18 17:45:58:812',3,0,0
466,'2018/02/18 17:45:58:812',3,0,0
467,'2018/02/18 17:45:58:823',3,0,0
468,'2018/02/18 17:45:58:833',3,0,0
469,'2018/02/18 17:45:58:833',3,16,0
470,'2018/02/18 17:45:58:844',3,-16,0
471,'2018/02/18 17:45:58:844',3,0,0
472,'2018/02/18 17:45:58:852',3,-16,0
473,'2018/02/18 17:45:58:863',3,16,0
474,'2018/02/18 17:45:58:863',3,0,0
475,'2018/02/18 17:45:58:873',3,-32,0
476,'2018/02/18 17:45:58:873',3,32,0
477,'2018/02/18 17:45:58:883',3,0,0
478,'2018/02/18 17:45:58:883',3,0,0
479,'2018/02/18 17:45:58:893',3,-16,0
480,'2018/02/18 17:45:58:902',3,16,0
481,'2018/02/18 17:45:58:903',3,0,0
482,'2018/02/18 17:45:58:913',3,80,0
483,'2018/02/18 17:45:58:922',3,-80,0
484,'2018/02/18 17:45:58:923',3,0,0
485,'2018/02/18 17:45:58:933',3,16,0
486,'2018/02/18 17:45:58:934',3,-16,0
487,'2018/02/18 17:45:58:943',3,0,0
488,'2018/02/18 17:45:58:955',3,-144,0
489,'2018/02/18 17:45:58:955',3,144,0
490,'2018/02/18 17:45:58:964',3,0,0
491,'2018/02/18 17:45:58:965',3,144,0
492,'2018/02/18 17:45:58:973',3,-144,0
493,'2018/02/18 17:45:58:984',3,0,0
494,'2018/02/18 17:45:58:984',3,0,0
495,'2018/02/18 17:45:58:994',3,32,0
496,'2018/02/18 17:45:58:994',3,-32,0
497,'2018/02/18 17:45:59:005',3,0,0
498,'2018/02/18 17:45:59:006',3,-48,0
499,'2018/02/18 17:45:59:015',3,48,0
500,'2018/02/18 17:45:59:025',3,0,0
501,'2018/02/18 17:45:59:025',3,-32,0
502,'2018/02/18 17:45:59:033',3,32,0
503,'2018/02/18 17:45:59:033',3,0,0
504,'2018/02/18 17:45:59:043',3,64,0
505,'2018/02/18 17:45:59:052',3,-64,0
506,'2018/02/18 17:45:59:053',3,0,0
507,'2018/02/18 17:45:59:065',3,-16,0
508,'2018/02/18 17:45:59:072',3,16,0
509,'2018/02/18 17:45:59:073',3,0,0
510,'2018/02/18 17:45:59:082',3,0,0
511,'2018/02/18 17:45:59:082',3,-64,0
512,'2018/02/18 17:45:59:093',3,64,0
513,'2018/02/18 17:45:59:102',3,0,0
514,'2018/02/18 17:45:59:103',3,-16,0
515,'2018/02/18 17:45:59:112',3,16,0
516,'2018/02/18 17:45:59:113',3,0,0
517,'2018/02/18 17:45:59:122',3,32,0
518,'2018/02/18 17:45:59:132',3,-32,0
519,'2018/02/18 17:45:59:132',3,0,0
520,'2018/02/18 17:45:59:143',3,48,0
521,'2018/02/18 17:45:59:144',3,-48,0
522,'2018/02/18 17:45:59:153',3,0,0
523,'2018/02/18 17:45:59:154',3,-32,0
524,'2018/02/18 17:45:59:162',3,32,0
525,'2018/02/18 17:45:59:173',3,0,0
526,'2018/02/18 17:45:59:173',3,0,0
527,'2018/02/18 17:45:59:182',3,0,0
528,'2018/02/18 17:45:59:193',3,0,0
529,'2018/02/18 17:45:59:194',3,0,0
530,'2018/02/18 17:45:59:203',3,-48,0
531,'2018/02/18 17:45:59:203',3,48,0
532,'2018/02/18 17:45:59:213',3,0,0
533,'2018/02/18 17:45:59:222',3,16,0
534,'2018/02/18 17:45:59:222',3,-16,0
535,'2018/02/18 17:45:59:232',3,0,0
536,'2018/02/18 17:45:59:233',3,48,0
537,'2018/02/18 17:45:59:244',3,-48,0
538,'2018/02/18 17:45:59:244',3,0,0
539,'2018/02/18 17:45:59:251',3,0,0
540,'2018/02/18 17:45:59:262',3,-48,0
541,'2018/02/18 17:45:59:262',3,48,0
542,'2018/02/18 17:45:59:273',3,0,0
543,'2018/02/18 17:45:59:282',3,32,0
544,'2018/02/18 17:45:59:282',3,-32,0
545,'2018/02/18 17:45:59:292',3,0,0
546,'2018/02/18 17:45:59:293',3,0,0
547,'2018/02/18 17:45:59:303',3,0,0
548,'2018/02/18 17:45:59:313',3,0,0
549,'2018/02/18 17:45:59:313',3,0,0
550,'2018/02/18 17:45:59:323',3,0,0
551,'2018/02/18 17:45:59:323',3,0,0
552,'2018/02/18 17:45:59:332',3,48,0
553,'2018/02/18 17:45:59:344',3,-48,0
554,'2018/02/18 17:45:59:344',3,0,0
555,'2018/02/18 17:45:59:353',3,0,0
556,'2018/02/18 17:45:59:354',3,-96,0
557,'2018/02/18 17:45:59:362',3,96,0
558,'2018/02/18 17:45:59:373',3,0,0
559,'2018/02/18 17:45:59:373',3,32,0
560,'2018/02/18 17:45:59:383',3,-32,0
561,'2018/02/18 17:45:59:384',3,0,0
